SchoolYear,leaType,County_Name,lea,DistrictCode,gradeLevel,teacherTotal,studentTotal,population
2017,Districts,Kent,Milford School District,18,All Levels,260,4037,32422
2017,Districts,Kent,POLYTECH School District,39,All Levels,86,1200,32422
2017,Districts,Kent,Smyrna School District,24,All Levels,345,5305,32422
2017,Districts,New Castle,Appoquinimink School District,29,All Levels,673,10525,97298
2017,Districts,New Castle,Brandywine School District,31,All Levels,727,10243,97298
2017,Districts,New Castle,Christina School District,33,All Levels,1116,14686,97298
2017,Districts,New Castle,Colonial School District,34,All Levels,638,9749,97298
2017,Districts,New Castle,New Castle County Vocational-Technical School District,38,All Levels,354,4692,97298
2017,Districts,New Castle,Red Clay Consolidated School District,32,All Levels,1108,17256,97298
2017,Districts,Sussex,Cape Henlopen School District,17,All Levels,406,5184,33851
2017,Districts,Sussex,Delmar School District,37,All Levels,75,1303,33851
2017,Districts,Sussex,Indian River School District,36,All Levels,734,10267,33851
2017,Districts,Sussex,Laurel School District,16,All Levels,150,2326,33851
2017,Districts,Sussex,Seaford School District,23,All Levels,240,3443,33851
2017,Districts,Sussex,Sussex Technical School District,40,All Levels,90,1344,33851
2017,Districts,Sussex,Woodbridge School District,35,All Levels,160,2473,33851
2018,Charters,Kent,Academy of Dover Charter School,85,All Levels,17,270,32455
2018,Charters,Kent,Campus Community School,74,All Levels,25,417,32455
2018,Charters,Kent,Early College High School at Del State,9604,All Levels,17,420,32455
2018,Charters,Kent,First State Military Academy,9607,All Levels,18,409,32455
2018,Charters,Kent,Positive Outcomes Charter School,71,All Levels,14,126,32455
2018,Charters,Kent,Providence Creek Academy Charter School,87,All Levels,41,690,32455
2018,Charters,New Castle,ASPIRA Delaware,69,All Levels,53,740,96964
2018,Charters,New Castle,Academia Antonia Alonso,9605,All Levels,27,494,96964
2018,Charters,New Castle,Charter School of New Castle,80,All Levels,44,751,96964
2018,Charters,New Castle,East Side Charter School,72,All Levels,35,415,96964
2018,Charters,New Castle,Edison (Thomas A.) Charter School,76,All Levels,44,732,96964
2018,Charters,New Castle,First State Montessori Academy,9606,All Levels,28,509,96964
2018,Charters,New Castle,Freire Charter School Wilmington,9612,All Levels,21,411,96964
2018,Charters,New Castle,Gateway Charter School,92,All Levels,23,189,96964
2018,Charters,New Castle,Great Oaks Charter School,9611,All Levels,18,448,96964
2018,Charters,New Castle,Kuumba Academy Charter School,82,All Levels,49,719,96964
2018,Charters,New Castle,MOT Charter School,88,All Levels,73,1288,96964
2018,Charters,New Castle,Newark Charter School,89,All Levels,138,2354,96964
2018,Charters,New Castle,Odyssey Charter School,86,All Levels,129,1662,96964
2018,Charters,Sussex,Sussex Academy,77,All Levels,37,759,34371
2018,Districts,Kent,Caesar Rodney School District,10,All Levels,540,7843,32455
2018,Districts,Kent,Capital School District,13,All Levels,472,6354,32455
2018,Districts,Kent,Lake Forest School District,15,All Levels,249,3740,32455
2018,Districts,Kent,Milford School District,18,All Levels,265,4060,32455
2018,Districts,Kent,POLYTECH School District,39,All Levels,87,1188,32455
2018,Districts,Kent,Smyrna School District,24,All Levels,352,5411,32455
2018,Districts,New Castle,Appoquinimink School District,29,All Levels,702,10748,96964
2018,Districts,New Castle,Brandywine School District,31,All Levels,724,10290,96964
2018,Districts,New Castle,Christina School District,33,All Levels,1112,14277,96964
2018,Districts,New Castle,Colonial School District,34,All Levels,635,9669,96964
2018,Districts,New Castle,New Castle County Vocational-Technical School District,38,All Levels,357,4716,96964
2018,Districts,New Castle,Red Clay Consolidated School District,32,All Levels,1111,17032,96964
2018,Districts,Sussex,Cape Henlopen School District,17,All Levels,436,5370,34371
2018,Districts,Sussex,Delmar School District,37,All Levels,71,1345,34371
2018,Districts,Sussex,Indian River School District,36,All Levels,761,10443,34371
2018,Districts,Sussex,Laurel School District,16,All Levels,155,2412,34371
2018,Districts,Sussex,Seaford School District,23,All Levels,242,3413,34371
2018,Districts,Sussex,Sussex Technical School District,40,All Levels,88,1248,34371
2018,Districts,Sussex,Woodbridge School District,35,All Levels,165,2502,34371
2019,Charters,Kent,Academy of Dover Charter School,85,All Levels,20,272,32432
2019,Charters,Kent,Campus Community School,74,All Levels,24,408,32432
2019,Charters,Kent,Early College High School at Del State,9604,All Levels,18,393,32432
2019,Charters,Kent,First State Military Academy,9607,All Levels,20,436,32432
2019,Charters,Kent,Positive Outcomes Charter School,71,All Levels,15,120,32432
2019,Charters,Kent,Providence Creek Academy Charter School,87,All Levels,41,690,32432
2019,Charters,New Castle,ASPIRA Delaware,69,All Levels,60,785,96719
2019,Charters,New Castle,Academia Antonia Alonso,9605,All Levels,36,603,96719
2019,Charters,New Castle,Charter School of New Castle,80,All Levels,45,763,96719
2019,Charters,New Castle,East Side Charter School,72,All Levels,36,422,96719
2019,Charters,New Castle,Edison (Thomas A.) Charter School,76,All Levels,42,730,96719
2019,Charters,New Castle,First State Montessori Academy,9606,All Levels,30,560,96719
2019,Charters,New Castle,Freire Charter School Wilmington,9612,All Levels,26,479,96719
2019,Charters,New Castle,Gateway Charter School,92,All Levels,18,172,96719
2019,Charters,New Castle,Great Oaks Charter School,9611,All Levels,21,440,96719
2019,Charters,New Castle,Kuumba Academy Charter School,82,All Levels,52,661,96719
2019,Charters,New Castle,MOT Charter School,88,All Levels,76,1314,96719
2019,Charters,New Castle,Newark Charter School,89,All Levels,142,2386,96719
2019,Charters,New Castle,Odyssey Charter School,86,All Levels,147,1803,96719
2019,Charters,Sussex,Sussex Academy,77,All Levels,38,795,34754
2019,Districts,Kent,Caesar Rodney School District,10,All Levels,545,7905,32432
2019,Districts,Kent,Capital School District,13,All Levels,486,6370,32432
2019,Districts,Kent,Lake Forest School District,15,All Levels,249,3671,32432
2019,Districts,Kent,Milford School District,18,All Levels,273,4153,32432
2019,Districts,Kent,POLYTECH School District,39,All Levels,87,1199,32432
2019,Districts,Kent,Smyrna School District,24,All Levels,361,5592,32432
2019,Districts,New Castle,Appoquinimink School District,29,All Levels,734,11162,96719
2019,Districts,New Castle,Brandywine School District,31,All Levels,735,10278,96719
2019,Districts,New Castle,Christina School District,33,All Levels,1136,14012,96719
2019,Districts,New Castle,Colonial School District,34,All Levels,669,9728,96719
2019,Districts,New Castle,New Castle County Vocational-Technical School District,38,All Levels,356,4694,96719
2019,Districts,New Castle,Red Clay Consolidated School District,32,All Levels,1115,16693,96719
2019,Districts,Sussex,Cape Henlopen School District,17,All Levels,441,5546,34754
2019,Districts,Sussex,Delmar School District,37,All Levels,74,1369,34754
2019,Districts,Sussex,Indian River School District,36,All Levels,798,10505,34754
2019,Districts,Sussex,Laurel School District,16,All Levels,158,2482,34754
2019,Districts,Sussex,Seaford School District,23,All Levels,245,3403,34754
2019,Districts,Sussex,Sussex Technical School District,40,All Levels,85,1240,34754
2019,Districts,Sussex,Woodbridge School District,35,All Levels,167,2499,34754
2020,Charters,Kent,Academy of Dover Charter School,85,All Levels,19,266,32666
2020,Charters,Kent,Campus Community School,74,All Levels,24,420,32666
2020,Charters,Kent,Early College High School at Del State,9604,All Levels,13,421,32666
2020,Charters,Kent,First State Military Academy,9607,All Levels,24,452,32666
2020,Charters,Kent,Positive Outcomes Charter School,71,All Levels,15,121,32666
2020,Charters,Kent,Providence Creek Academy Charter School,87,All Levels,40,703,32666
2020,Charters,New Castle,ASPIRA Delaware,69,All Levels,65,946,96185
2020,Charters,New Castle,Academia Antonia Alonso,9605,All Levels,39,595,96185
2020,Charters,New Castle,Charter School of New Castle,80,All Levels,47,766,96185
2020,Charters,New Castle,East Side Charter School,72,All Levels,33,426,96185
2020,Charters,New Castle,Edison (Thomas A.) Charter School,76,All Levels,43,728,96185
2020,Charters,New Castle,First State Montessori Academy,9606,All Levels,32,599,96185
2020,Charters,New Castle,Freire Charter School Wilmington,9612,All Levels,26,487,96185
2020,Charters,New Castle,Gateway Charter School,92,All Levels,23,177,96185
2020,Charters,New Castle,Great Oaks Charter School,9611,All Levels,25,479,96185
2020,Charters,New Castle,Kuumba Academy Charter School,82,All Levels,51,668,96185
2020,Charters,New Castle,MOT Charter School,88,All Levels,80,1375,96185
2020,Charters,New Castle,Newark Charter School,89,All Levels,141,2412,96185
2020,Charters,New Castle,Odyssey Charter School,86,All Levels,156,1916,96185
2020,Charters,Sussex,Sussex Academy,77,All Levels,41,858,35087
2020,Districts,Kent,Caesar Rodney School District,10,All Levels,558,8042,32666
2020,Districts,Kent,Capital School District,13,All Levels,493,6452,32666
2020,Districts,Kent,Lake Forest School District,15,All Levels,255,3645,32666
2020,Districts,Kent,Milford School District,18,All Levels,280,4214,32666
2020,Districts,Kent,POLYTECH School District,39,All Levels,86,1192,32666
2020,Districts,Kent,Smyrna School District,24,All Levels,385,5763,32666
2020,Districts,New Castle,Appoquinimink School District,29,All Levels,764,11563,96185
2020,Districts,New Castle,Brandywine School District,31,All Levels,772,10339,96185
2020,Districts,New Castle,Christina School District,33,All Levels,1122,13571,96185
2020,Districts,New Castle,Colonial School District,34,All Levels,681,9742,96185
2020,Districts,New Castle,New Castle County Vocational-Technical School District,38,All Levels,360,4669,96185
2020,Districts,New Castle,Red Clay Consolidated School District,32,All Levels,1170,16763,96185
2020,Districts,Sussex,Cape Henlopen School District,17,All Levels,454,5735,35087
2020,Districts,Sussex,Delmar School District,37,All Levels,73,1403,35087
2020,Districts,Sussex,Indian River School District,36,All Levels,804,10715,35087
2020,Districts,Sussex,Laurel School District,16,All Levels,171,2603,35087
2020,Districts,Sussex,Seaford School District,23,All Levels,236,3467,35087
2020,Districts,Sussex,Sussex Technical School District,40,All Levels,85,1241,35087
2020,Districts,Sussex,Woodbridge School District,35,All Levels,173,2566,35087
2021,Charters,Kent,Academy of Dover Charter School,85,All Levels,24,329,32876
2021,Charters,Kent,Campus Community School,74,All Levels,25,413,32876
2021,Charters,Kent,Early College High School at Del State,9604,All Levels,15,399,32876
2021,Charters,Kent,First State Military Academy,9607,All Levels,25,458,32876
2021,Charters,Kent,Positive Outcomes Charter School,71,All Levels,14,112,32876
2021,Charters,Kent,Providence Creek Academy Charter School,87,All Levels,42,707,32876
2021,Charters,New Castle,ASPIRA Delaware,69,All Levels,70,1060,96044
